index,record_va,key,size,offset,target_va,target_section,flags
0,0xc5150,0xaf7f9a26519b742f,0x20,0x13c880,0x2019d0,.text,0x0
1,0xc5170,0x92a3264eca8bd128,0x20,0x13c9c0,0x201b30,.text,0x0
2,0xc5190,0x54c3a195965ae508,0x20,0x13cb00,0x201c90,.text,0x0
3,0xc51b0,0x9dea92ff54b2f91e,0x20,0x13cc40,0x201df0,.text,0x0
4,0xc51d0,0xac4bd07bd2be57ff,0x20,0x13cd80,0x201f50,.text,0x0
5,0xc51f0,0x71a309c96a34e528,0x20,0x13cec0,0x2020b0,.text,0x0
6,0xc5210,0x34ea4934e5b1d5c3,0x20,0x13d000,0x202210,.text,0x0
7,0xc5230,0xcb979097ebd1b6bc,0x20,0x13d140,0x202370,.text,0x0
8,0xc5250,0xeb8095227f8012fb,0x20,0x13d280,0x2024d0,.text,0x0
9,0xc5270,0x81fba6f9667bc00f,0x20,0x13d3c0,0x202630,.text,0x0
10,0xc5290,0x6aa070d2385e0c22,0x20,0x13d500,0x202790,.text,0x0
11,0xc52b0,0x6cbea15d889b525a,0x20,0x13d640,0x2028f0,.text,0x0
12,0xc52d0,0xcdff191d7fe10aca,0x20,0x13d780,0x202a50,.text,0x0
13,0xc52f0,0x46d628bc37685644,0x20,0x13d8c0,0x202bb0,.text,0x0
14,0xc5310,0x8c242d8f5ba86a3b,0x20,0x13da00,0x202d10,.text,0x0
15,0xc5330,0xd391e8b97c420bee,0x20,0x13db40,0x202e70,.text,0x0
16,0xc5350,0xfde9a77fcba1f7f7,0x20,0x13dc80,0x202fd0,.text,0x0
17,0xc5370,0xf74bbb55930436c4,0x20,0x13ddc0,0x203130,.text,0x0
18,0xc5390,0x1b917d6f3259fc8c,0x20,0x13df00,0x203290,.text,0x0
19,0xc53b0,0x7db37542e5756abc,0x20,0x13e040,0x2033f0,.text,0x0
20,0xc53d0,0x8fa395cf5ca97ceb,0x20,0x13e180,0x203550,.text,0x0
21,0xc53f0,0xe3921e941d8c2570,0x20,0x13e2c0,0x2036b0,.text,0x0
22,0xc5410,0x7b7e4c4fb690ba71,0x20,0x13e400,0x203810,.text,0x0
23,0xc5430,0x38d0fbd234c3ba34,0x20,0x13e540,0x203970,.text,0x0
24,0xc5450,0x35acc7b6e4b4ddbb,0x20,0x13e680,0x203ad0,.text,0x0
25,0xc5470,0x24ae500b664394fd,0x20,0x13e7c0,0x203c30,.text,0x0
26,0xc5490,0x61c2071eb85fcb99,0x20,0x13e900,0x203d90,.text,0x0
27,0xc54b0,0x1241110dd1df2f6d,0x20,0x13ea40,0x203ef0,.text,0x0
28,0xc54d0,0x6a7b9f22996ab61c,0x20,0x13eb80,0x204050,.text,0x0
29,0xc54f0,0x0887a32559b5f328,0x20,0x13ecc0,0x2041b0,.text,0x0
30,0xc5510,0x0dd793cdda937f65,0x20,0x13ee00,0x204310,.text,0x0
31,0xc5530,0x97191c0c36e249f4,0x20,0x13ef40,0x204470,.text,0x0
32,0xc5550,0xf8dcea81051aa391,0x20,0x13f080,0x2045d0,.text,0x0
33,0xc5570,0x29d06cfd8317ae88,0x20,0x13f1c0,0x204730,.text,0x0
34,0xc5590,0x66c73e427c09823e,0x20,0x13f300,0x204890,.text,0x0
35,0xc55b0,0x792cce27e0e03e27,0x20,0x13f440,0x2049f0,.text,0x0
36,0xc55d0,0x1275dfde9ba24570,0x20,0x13f580,0x204b50,.text,0x0
37,0xc55f0,0xdd8c61c5a1b534f6,0x20,0x13f6c0,0x204cb0,.text,0x0
38,0xc5610,0xf4fd4053c06dae9a,0x20,0x13f800,0x204e10,.text,0x0
39,0xc5630,0xad4291ff64c0ac66,0x20,0x13f940,0x204f70,.text,0x0
40,0xc5650,0xabd60fdbfc1b40e5,0x20,0x13fa80,0x2050d0,.text,0x0
41,0xc5670,0xd56f431fa85aeb45,0x20,0x13fbc0,0x205230,.text,0x0
42,0xc5690,0x443dcb3af5cea550,0x20,0x13fd00,0x205390,.text,0x0
43,0xc56b0,0x957a6795b6ca870c,0x20,0x13fe40,0x2054f0,.text,0x0
44,0xc56d0,0x75857d4f50ee3235,0x20,0x13ff80,0x205650,.text,0x0
45,0xc56f0,0xf0c584e399b71872,0x20,0x1400c0,0x2057b0,.text,0x0
46,0xc5710,0x377dee9af7046c56,0x20,0x140200,0x205910,.text,0x0
47,0xc5730,0x4c6a497252914748,0x20,0x140340,0x205a70,.text,0x0
48,0xc5750,0x919904f3903ccf47,0x20,0x140480,0x205bd0,.text,0x0
49,0xc5770,0x3492b43266d1f201,0x20,0x1405c0,0x205d30,.text,0x0
50,0xc5790,0x0421b0ea6d1c2fb0,0x20,0x140700,0x205e90,.text,0x0
51,0xc57b0,0xf2981f52c5e2122f,0x20,0x140840,0x205ff0,.text,0x0
52,0xc57d0,0x959e844f46730210,0x20,0x140980,0x206150,.text,0x0
53,0xc57f0,0x13772a97060845d2,0x20,0x140ac0,0x2062b0,.text,0x0
54,0xc5810,0x0c9e4021b84db397,0x20,0x140c00,0x206410,.text,0x0
55,0xc5830,0xbad4b57fe28487df,0x20,0x140d40,0x206570,.text,0x0
56,0xc5850,0x5dad6ae9a901ffab,0x20,0x140e80,0x2066d0,.text,0x0
57,0xc5870,0x45acc2ab75363f51,0x20,0x140fc0,0x206830,.text,0x0
58,0xc5890,0x8fae9073f2e1ca58,0x20,0x141100,0x206990,.text,0x0
59,0xc58b0,0x3af9f0217dbdea02,0x20,0x141240,0x206af0,.text,0x0
60,0xc58d0,0x28fbb6abf9085a2d,0x20,0x141380,0x206c50,.text,0x0
61,0xc58f0,0xf9736179ae2c14dc,0x20,0x1414c0,0x206db0,.text,0x0
